"","metric","Threshold70","Threshold90","Threshold99","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"64","CSCI_Wet_Tim_0.63_Negative",-35.4301563048538,-13.3976029500264,-1.88876193978103,261,"Negative","CSCI","CSCI",0.63,"Wet_Tim"
"65","CSCI_DS_Dur_WS_0.79_Negative",-40.0665334986489,-13.6835887386314,-1.83082072216997,230,"Negative","CSCI","CSCI",0.79,"DS_Dur_WS"
"66","CSCI_DS_Mag_50_0.79_Negative",-0.0892872580396395,-0.0318879033367577,-0.00336414635125249,151,"Negative","CSCI","CSCI",0.79,"DS_Mag_50"
"67","CSCI_DS_Mag_90_0.79_Negative",-2.21337389509296,-0.750033888788699,-0.0768247911728302,175,"Negative","CSCI","CSCI",0.79,"DS_Mag_90"
"68","CSCI_DS_Tim_0.79_Negative",-36.7339335030474,-12.6604707366848,-1.73493026515728,250,"Negative","CSCI","CSCI",0.79,"DS_Tim"
"69","CSCI_FA_Dur_0.79_Negative",-5.12958993712384,-2.0189402224006,-0.651177921733076,22,"Negative","CSCI","CSCI",0.79,"FA_Dur"
"70","CSCI_FA_Mag_0.79_Negative",-36.2690473280675,-46.4097502112581,-50.966377026085,7,"Negative","CSCI","CSCI",0.79,"FA_Mag"
"71","CSCI_FA_Tim_0.79_Negative",-10.1074430049723,-3.65883912934374,-0.819363068449618,31,"Negative","CSCI","CSCI",0.79,"FA_Tim"
"72","CSCI_Q99_0.79_Negative",-0.0263723798522528,-0.010133617503397,-0.0011093320829316,105,"Negative","CSCI","CSCI",0.79,"Q99"
"73","CSCI_SP_Dur_0.79_Negative",-30.8026154870038,-10.5402851234232,-1.51055173845863,251,"Negative","CSCI","CSCI",0.79,"SP_Dur"
"74","CSCI_SP_Mag_0.79_Negative",-1.19330002489699,-0.441825541010517,-0.0481414585038039,138,"Negative","CSCI","CSCI",0.79,"SP_Mag"
"75","CSCI_SP_ROC_0.79_Negative",-0.226423706692747,-0.0758710690799892,-0.00762672675582901,206,"Negative","CSCI","CSCI",0.79,"SP_ROC"
"76","CSCI_SP_Tim_0.79_Negative",-31.5815685276059,-10.6376385409611,-1.51061425344902,102,"Negative","CSCI","CSCI",0.79,"SP_Tim"
"77","CSCI_Wet_BFL_Dur_0.79_Negative",-34.449296463075,-12.1359495754272,-1.68064427098939,106,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Dur"
"78","CSCI_Wet_BFL_Mag_10_0.79_Negative",-22.5310697467783,-7.3105595069722,-0.728401289061008,223,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Mag_10"
"79","CSCI_Wet_BFL_Mag_50_0.79_Negative",-631.721265566287,-810.190005188762,-890.500938018876,213,"Negative","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
"80","CSCI_Wet_Tim_0.79_Negative",-15.4608040547373,-5.48291406253781,-1.00396499801966,261,"Negative","CSCI","CSCI",0.79,"Wet_Tim"
