"","StationCode","comid"
"400","LALT501",22515822
"401","SGUR010",22524803
"402","SGUT501",22522827
"403","SGUT502",22522881
"404","SGUT504",22522843
"405","SGUT505",22524699
"406","SMC00080",22514376
"407","SMC00105",22563228
"408","SMC00428",22521703
"409","SMC00436",22514960
"410","SMC01155",22563222
"411","SMC01172",20365027
"412","SMC01341",22563072
"413","SMC01372",17574585
"414","SMC01550",20365177
"415","SMC02152",20364957
"416","SMC02436",17563958
"417","SMC02884",17564052
"418","SMC03944",20365885
"419","SMC04264",20364815
"420","SMC04748",17574649
"421","SMC04750",20365153
"422","SMC05902",20365909
"423","SMC06926",20365905
"424","SMC08540",17574361
"425","SMC08766",22525157
"426","SMC09534",22525157
"427","SMC09564",17574541
"428","SMC11384",20364969
"429","SMC12814",20365177
"430","SMC13599",17587578
"431","SMC15678",22525157
"432","SMC17056",17574541
"433","SMC17692",17574613
"434","SMC20092",17574613
"435","SMC20994",20365909
"436","SMC21382",17574683
"437","SMC21796",20366113
"438","SMC40887",22561196
"439","SMCR8_007",22558926
"440","SMCR8_011",22563160
"441","SMCR8_012",22525701
"442","SMCR8_019",22563072
"443","SMCR8_020",22535242
"444","SMCR8_025",22558770
"445","SMCR8_028",24843814
"446","SMCR8_034",22558944
"447","SMCR8_035",22558964
"448","SMCR8_042",22563070
"449","SMCR8_046",22563198
"450","SMCR8_048",20355330
"451","SMCR8_057",22557766
"452","SMCR8_062",22554826
"453","SMCR8_069",22557786
"454","SMCR8_070",22536082
"455","SMCR8_071",22563222
"456","SMCR8_074",22558966
"457","SMCR8_080",22558868
"458","SMCR8_105",22557768
"459","SMCR8_106",22558868
"460","SMCR8_118",22557742
"461","SMCR8_142",22561128
"462","SMCR8_147",22535148
"463","SMCR8_149",22561168
"464","SMCR8_151",948070241
"465","SMCR8_153",22560886
"466","SMCR8_155",22535098
"467","SMCR8_160",22535264
"468","SMCR8_162",948070538
"469","SMCR8_163",22535148
"470","SMCR8_172",22535170
"471","SMCR8_203",22558716
"472","SMCR8_267",22535384
"473","SMCR8_270",22536110
"474","SMCR8_272",22558960
"475","SMCR8_346",24843772
"476","SMCR8_351",948070274
"477","SMCR8_362",22557974
"478","SMCR8_370",22556002
"479","SMCR8_375",22535242
"480","SMCR8_419",22536092
"481","SMCR8_446",22555238
"482","SMCR8_453",22535256
"483","SMCR8_474",22554684
"484","SMCR8_480",22525001
"485","SMCR8_496",22535384
"486","SMCR8_528",948070534
"487","SMCR8_530",22558750
"488","SMCR8_543",22535118
"489","SMCR8_587",22535278
"490","SMCR8_635",22535158
"491","SMCR8_713",22554678
